SKU,Order,Delivery Date,Quantity
15668519,6608291,2014-08-22,1
15668519,6754800,2014-07-01,1
15668519,6477007,2014-09-27,1
15668519,6542228,2014-09-08,1
15668519,6434760,2014-10-03,1
15668519,6642647,2014-08-12,1
15668519,6805789,2014-06-27,1
15668519,7880997,2014-06-14,1
15668519,7958301,2014-05-27,1
15668519,6739757,2014-07-15,1
15668519,6557470,2014-08-26,1
15668519,8053741,2014-04-19,1
15668519,6574325,2014-08-31,1
15668519,7917069,2014-06-04,1
15668519,6431269,2014-10-01,1
15668519,7925134,2014-06-07,1
15668519,7900626,2014-05-30,1
15668519,6670494,2014-08-03,1
15668519,6474225,2014-09-25,1
15668519,6527703,2014-09-05,1
15668519,7970214,2014-05-08,1
15668519,7897302,2014-05-29,1
15668519,6675515,2014-08-04,1
15668519,7874663,2014-06-11,1
15668519,7920076,2014-06-05,1
15668519,6489978,2014-09-12,1
15668519,7975922,2014-05-10,1
15668519,7991697,2014-05-16,1
15668519,6448473,2014-10-07,1
15668519,6512162,2014-09-18,1
15668519,8084238,2014-04-05,1
15668519,6567024,2014-08-29,1
15668519,6425780,2014-09-30,1
15668519,7866103,2014-06-08,1
15668519,6523432,2014-09-03,1
15668519,7917434,2014-06-04,1
15668519,6616603,2014-08-24,1
15668519,6456065,2014-09-20,1
15668519,7875716,2014-06-12,1
15668519,6767450,2014-07-04,1
15668519,6789248,2014-06-22,1
15668519,8030671,2014-04-09,1
15668519,6804869,2014-06-26,1
15668519,6661864,2014-07-30,1
15668519,6529493,2014-09-06,1
15668519,6703849,2014-07-24,1
15668519,6500329,2014-09-14,1
15668519,7998412,2014-04-23,1
15668519,8014053,2014-04-30,1
15668519,8040195,2014-04-13,1
15668519,6534139,2014-09-07,1
15668519,6439523,2014-10-04,1
15668519,8046928,2014-04-16,1
15668519,6613590,2014-08-24,1
15668519,6758758,2014-07-02,1
15668519,6645144,2014-08-13,1
15668519,6694983,2014-07-21,1
15668519,6664902,2014-08-01,1
15668519,7901639,2014-05-31,1
15668519,6718192,2014-07-09,1
15668519,6559781,2014-08-27,1
15668519,6699768,2014-07-22,1
15668519,6661374,2014-07-30,1
15668519,7965660,2014-05-06,1
15668519,6543110,2014-09-08,1
15668519,6458253,2014-09-21,1
15668519,7947618,2014-05-24,1
15668519,6747383,2014-07-17,1
15668519,8093161,2014-04-08,1
15668519,6532259,2014-09-07,1
15668519,6556263,2014-08-25,1
15668519,7884093,2014-06-15,1
15668519,7873887,2014-06-11,1
15668519,8060618,2014-04-22,1
15668519,6785258,2014-06-20,1
15668519,6592544,2014-08-17,1
15668519,6659316,2014-07-30,1
15668519,6713174,2014-07-27,1
15668519,7919197,2014-06-04,1
15668519,6461859,2014-09-22,1
15668519,6520632,2014-09-20,1
15668519,6725267,2014-07-11,1
15668519,7987546,2014-05-14,1
15668519,7947718,2014-05-25,1
15668519,6429183,2014-10-01,1
15668519,8014350,2014-04-30,1
15668519,7982859,2014-05-13,1
15668519,6802065,2014-06-25,1
15668519,6751713,2014-07-01,1
15668519,8018063,2014-05-02,1
15668519,6496807,2014-09-13,1
15668519,6729240,2014-07-12,1
15668519,6510582,2014-09-17,1
15668519,6757889,2014-07-02,1
15668519,8045328,2014-04-15,1
15668519,6798572,2014-06-24,1
